Date;open;high;low;close;volume;
24/08/2021;4956230000000,00;4987880000000,00;4768710000000,00;4770610000000,00;35361168833.64;
23/08/2021;4929170000000,00;5048210000000,00;4907460000000,00;4954610000000,00;34305053718.87;
22/08/2021;4886910000000,00;4947160000000,00;4819990000000,00;4932170000000,00;25370975377.73;
21/08/2021;4932710000000,00;497170000000,00;4831220000000,00;4890550000000,00;40585205312.32;
20/08/2021;4672310000000,00;4934220000000,00;4665070000000,00;4933920000000,00;34706867451.71;
19/08/2021;4474190000000,00;4697080000000,00;4399830000000,00;467176000000,00;37204312298.94;
18/08/2021;4468680000000,00;4595210000000,00;4436400000000,00;4480120000000,00;32194123075.34;
17/08/2021;4593650000000,00;4713960000000,00;4451240000000,00;4469540000000,00;33451362599.74;
16/08/2021;4702000000000,00;4799810000000,00;457003000000,00;460045000000,00;32776876609.7;
15/08/2021;4709670000000,00;4735710000000,00;4557960000000,00;4704700000000,00;30988958445.96;
14/08/2021;4781070000000,00;4809870000000,00;4617760000000,00;4709690000000,00;31211354441.65;
13/08/2021;4443970000000,00;4783200000000,00;4428240000000,00;4779330000000,00;31744259538.78;
12/08/2021;4557690000000,00;4622890000000,00;4386140000000,00;4442830000000,00;33723620826.37;
11/08/2021;4559970000000,00;4673560000000,00;4535170000000,00;4559360000000,00;34319709072.92;
10/08/2021;4628080000000,00;4663800000000,00;4470560000000,00;4558500000000,00;33546019517.4;
09/08/2021;4379190000000,00;4645680000000,00;4284870000000,00;4636540000000,00;38734079049.1;
08/08/2021;4457440000000,00;4528240000000,00;433319000000,00;4379810000000,00;36302664749.76;
07/08/2021;4283280000000,00;4468990000000,00;4261860000000,00;445558000000,00;40030862141.25;
06/08/2021;4086590000000,00;4327170000000,00;3993220000000,00;4281650000000,00;38226483045.67;
05/08/2021;3974450000000,00;4134190000000,00;3745800000000,00;4086960000000,00;35185031016.54;
04/08/2021;3821330000000,00;3995230000000,00;3758920000000,00;3974750000000,00;25372562723.91;
03/08/2021;3917840000000,00;3975000000000,00;3778210000000,00;381530000000,00;26189830449.73;
02/08/2021;399073000000,00;4041920000000,00;3874630000000,00;39201945189,00;25595265436.38;
01/08/2021;4146080000000,00;4254170000000,00;3954090000000,00;3997490000000,00;26688438115.4;
31/07/2021;4219630000000,00;4223140000000,00;4111080000000,00;4162620000000,00;25802845343.24;
30/07/2021;400275000000,00;4223550000000,00;383974000000,00;4223550000000,00;33072782960.21;
29/07/2021;3999550000000,00;4059310000000,00;3935210000000,00;4000840000000,00;27167146026.5;
28/07/2021;3950320000000,00;4081610000000,00;3886240000000,00;3999590000000,00;38702404695.37;
27/07/2021;3727600000000,00;394069000000,00;3644170000000,00;394069000000,00;35097370560.07;
26/07/2021;3538400000000,00;404997000000,00;352873000000,00;373375000000,00;51022126212.27;
25/07/2021;3429030000000,00;3536490000000,00;3388180000000,00;3535020000000,00;20856685287.16;
24/07/2021;3359370000000,00;3449040000000,00;3342490000000,00;3429240000000,00;21664706865.41;
23/07/2021;3230600000000,00;3358160000000,00;3205790000000,00;3358160000000,00;22552046192.46;
22/07/2021;3213890000000,00;3257640000000,00;3174530000000,00;3231310000000,00;19555230517.6;
21/07/2021;2979630000000,00;3275230000000,00;2952620000000,00;3211070000000,00;28203024558.74;
20/07/2021;3083830000000,00;3100620000000,00;2936100000000,00;2980730000000,00;23148267244.64;
19/07/2021;3180000000000,00;3188590000000,00;3056370000000,00;3081780000000,00;20434789544.65;
18/07/2021;315339000000,00;3239900000000,00;312155000000,00;3179680000000,00;18787986666.5;
17/07/2021;3139730000000,00;3193590000000,00;3122400000000,00;3153310000000,00;18895018941.74;
16/07/2021;3184160000000,00;3221840000000,00;3110070000000,00;3142150000000,00;23699476918.2;
15/07/2021;3282790000000,00;3315960000000,00;3117570000000,00;3178070000000,00;21300524236.7;
14/07/2021;3272380000000,00;3306140000000,00;316391000000,00;3282230000000,00;21376531209.58;
13/07/2021;3312550000000,00;3332710000000,00;3226140000000,00;3270200000000,00;19120856668.82;
12/07/2021;3425400000000,00;3459220000000,00;326973000000,00;3315580000000,00;24321499537.02;
11/07/2021;335091000000,00;3458470000000,00;3334670000000,00;3424020000000,00;20108729370.08;
10/07/2021;3381120000000,00;3420910000000,00;3311600000000,00;3352050000000,00;22971873467.75;
09/07/2021;3286170000000,00;3404230000000,00;323189000000,00;3379800000000,00;27436021028.14;
08/07/2021;338896000000,00;3390790000000,00;3213320000000,00;3287740000000,00;29910396945.88;
07/07/2021;3422570000000,00;3499770000000,00;3383930000000,00;3385530000000,00;24796027476.65;
06/07/2021;3372350000000,00;3503850000000,00;3359990000000,00;3423520000000,00;26501259869.76;
05/07/2021;3528430000000,00;3528430000000,00;3321370000000,00;3374600000000,00;26721554282.07;
04/07/2021;3466560000000,00;3593760000000,00;3439650000000,00;3528780000000,00;24924307911.11;
03/07/2021;3385440000000,00;3490930000000,00;3340270000000,00;3466850000000,00;24383958643.26;
02/07/2021;335496000000,00;3393960000000,00;3277070000000,00;3389700000000,00;38728974942.25;
01/07/2021;3503600000000,00;3503600000000,00;3288380000000,00;3357210000000,00;37838957079.15;
30/06/2021;3590840000000,00;3607480000000,00;3408620000000,00;3504080000000,00;34059036099.04;
29/06/2021;3447560000000,00;3654210000000,00;3425250000000,00;3586780000000,00;37901460044.3;
28/06/2021;3467910000000,00;3521990000000,00;339021000000,00;3443430000000,00;33892523752.03;
27/06/2021;3228750000000,00;3465610000000,00;3207180000000,00;3464960000000,00;35511640893.97;
26/06/2021;3159470000000,00;3263760000000,00;3018450000000,00;3218630000000,00;38585385521.38;
25/06/2021;3465910000000,00;354872000000,00;3135090000000,00;3163780000000,00;40230904226,00;
24/06/2021;3368280000000,00;3522890000000,00;3238520000000,00;3466240000000,00;33123368116.18;
23/06/2021;3251570000000,00;3475340000000,00;3177260000000,00;337230000000,00;46317108924.69;
22/06/2021;3162240000000,00;3329250000000,00;2889360000000,00;325057000000,00;58964353058.3;
21/06/2021;3564110000000,00;3572160000000,00;3129590000000,00;3167670000000,00;52809038593.79;
20/06/2021;3556310000000,00;3605950000000,00;3343210000000,00;3569830000000,00;36664034054.41;
19/06/2021;3585450000000,00;3645780000000,00;3493310000000,00;3561590000000,00;31207279718.5;
18/06/2021;3809950000000,00;3818730000000,00;3525590000000,00;3578720000000,00;36200887274.95;
17/06/2021;3834140000000,00;3951370000000,00;3743970000000,00;3805350000000,00;37096670046.76;
16/06/2021;4016870000000,00;4051680000000,00;3817600000000,00;3834710000000,00;39211635099.63;
15/06/2021;4042720000000,00;4129530000000,00;396095000000,00;4040630000000,00;46420149185.33;
14/06/2021;390170000000,00;4097840000000,00;3875730000000,00;4021850000000,00;43148914673.17;
13/06/2021;3555580000000,00;3932280000000,00;3486410000000,00;3909790000000,00;40669112837.87;
12/06/2021;3734010000000,00;3740890000000,00;3472820000000,00;3555250000000,00;37924228550.01;
11/06/2021;3669700000000,00;3760870000000,00;3604440000000,00;3733440000000,00;38699736985.32;
10/06/2021;3738950000000,00;3833430000000,00;358476000000,00;3670260000000,00;43576032853.66;
09/06/2021;3341700000000,00;3753740000000,00;3247590000000,00;3734510000000,00;53972919007.62;
08/06/2021;3358950000000,00;3401740000000,00;3111440000000,00;3347260000000,00;49902050441.89;
07/06/2021;3583530000000,00;3679060000000,00;3348060000000,00;3356070000000,00;33683936663.24;
06/06/2021;3553860000000,00;3643640000000,00;3530460000000,00;3586240000000,00;28913440584.92;
05/06/2021;3688020000000,00;3791770000000,00;3490040000000,00;3555200000000,00;35959473399.07;
